Freq.	V(n003)/V(n001)
1.00000000000000e+000	(3.34418971332503e+001dB,1.79997469223188e+002°)
1.02329299228075e+000	(3.34418971328822e+001dB,1.79997410273823e+002°)
1.04712854805090e+000	(3.34418971324968e+001dB,1.79997349951352e+002°)
1.07151930523761e+000	(3.34418971320932e+001dB,1.79997288223789e+002°)
1.09647819614318e+000	(3.34418971316706e+001dB,1.79997225058407e+002°)
1.12201845430196e+000	(3.34418971312281e+001dB,1.79997160421714e+002°)
1.14815362149688e+000	(3.34418971307647e+001dB,1.79997094279439e+002°)
1.17489755493953e+000	(3.34418971302794e+001dB,1.79997026596512e+002°)
1.20226443461741e+000	(3.34418971297713e+001dB,1.79996957337048e+002°)
1.23026877081238e+000	(3.34418971292393e+001dB,1.79996886464323e+002°)
1.25892541179417e+000	(3.34418971286822e+001dB,1.79996813940761e+002°)
1.28824955169313e+000	(3.34418971280988e+001dB,1.79996739727908e+002°)
1.31825673855641e+000	(3.34418971274880e+001dB,1.79996663786415e+002°)
1.34896288259165e+000	(3.34418971268483e+001dB,1.79996586076018e+002°)
1.38038426460288e+000	(3.34418971261785e+001dB,1.79996506555513e+002°)
1.41253754462275e+000	(3.34418971254771e+001dB,1.79996425182738e+002°)
1.44543977074593e+000	(3.34418971247427e+001dB,1.79996341914547e+002°)
1.47910838816821e+000	(3.34418971239737e+001dB,1.79996256706791e+002°)
1.51356124843621e+000	(3.34418971231684e+001dB,1.79996169514292e+002°)
1.54881661891248e+000	(3.34418971223252e+001dB,1.79996080290818e+002°)
1.58489319246111e+000	(3.34418971214422e+001dB,1.79995988989062e+002°)
1.62181009735893e+000	(3.34418971205177e+001dB,1.79995895560616e+002°)
1.65958690743756e+000	(3.34418971195495e+001dB,1.79995799955941e+002°)
1.69824365246174e+000	(3.34418971185357e+001dB,1.79995702124348e+002°)
1.73780082874937e+000	(3.34418971174742e+001dB,1.79995602013964e+002°)
1.77827941003892e+000	(3.34418971163626e+001dB,1.79995499571709e+002°)
1.81970085860998e+000	(3.34418971151986e+001dB,1.79995394743268e+002°)
1.86208713666287e+000	(3.34418971139798e+001dB,1.79995287473059e+002°)
1.90546071796325e+000	(3.34418971127035e+001dB,1.79995177704206e+002°)
1.94984459975804e+000	(3.34418971113671e+001dB,1.79995065378508e+002°)
1.99526231496888e+000	(3.34418971099677e+001dB,1.79994950436408e+002°)
2.04173794466953e+000	(3.34418971085023e+001dB,1.79994832816963e+002°)
2.08929613085404e+000	(3.34418971069679e+001dB,1.79994712457809e+002°)
2.13796208950223e+000	(3.34418971053612e+001dB,1.79994589295130e+002°)
2.18776162394955e+000	(3.34418971036787e+001dB,1.79994463263624e+002°)
2.23872113856834e+000	(3.34418971019170e+001dB,1.79994334296467e+002°)
2.29086765276777e+000	(3.34418971000722e+001dB,1.79994202325279e+002°)
2.34422881531992e+000	(3.34418970981405e+001dB,1.79994067280087e+002°)
2.39883291901949e+000	(3.34418970961177e+001dB,1.79993929089289e+002°)
2.45470891568503e+000	(3.34418970939996e+001dB,1.79993787679614e+002°)
2.51188643150958e+000	(3.34418970917817e+001dB,1.79993642976084e+002°)
2.57039578276886e+000	(3.34418970894593e+001dB,1.79993494901976e+002°)
2.63026799189538e+000	(3.34418970870274e+001dB,1.79993343378779e+002°)
2.69153480392691e+000	(3.34418970844809e+001dB,1.79993188326154e+002°)
2.75422870333816e+000	(3.34418970818144e+001dB,1.79993029661889e+002°)
2.81838293126445e+000	(3.34418970790222e+001dB,1.79992867301858e+002°)
2.88403150312660e+000	(3.34418970760984e+001dB,1.79992701159977e+002°)
2.95120922666638e+000	(3.34418970730368e+001dB,1.79992531148155e+002°)
3.01995172040201e+000	(3.34418970698310e+001dB,1.79992357176248e+002°)
3.09029543251359e+000	(3.34418970664740e+001dB,1.79992179152015e+002°)
3.16227766016837e+000	(3.34418970629589e+001dB,1.79991996981066e+002°)
3.23593656929628e+000	(3.34418970592781e+001dB,1.79991810566810e+002°)
3.31131121482591e+000	(3.34418970554238e+001dB,1.79991619810408e+002°)
3.38844156139202e+000	(3.34418970513879e+001dB,1.79991424610719e+002°)
3.46736850452531e+000	(3.34418970471617e+001dB,1.79991224864245e+002°)
3.54813389233575e+000	(3.34418970427364e+001dB,1.79991020465079e+002°)
3.63078054770101e+000	(3.34418970381026e+001dB,1.79990811304844e+002°)
3.71535229097172e+000	(3.34418970332503e+001dB,1.79990597272642e+002°)
3.80189396320560e+000	(3.34418970281694e+001dB,1.79990378254990e+002°)
3.89045144994280e+000	(3.34418970228490e+001dB,1.79990154135762e+002°)
3.98107170553496e+000	(3.34418970172778e+001dB,1.79989924796126e+002°)
4.07380277804112e+000	(3.34418970114441e+001dB,1.79989690114484e+002°)
4.16869383470335e+000	(3.34418970053355e+001dB,1.79989449966405e+002°)
4.26579518801592e+000	(3.34418969989390e+001dB,1.79989204224559e+002°)
4.36515832240165e+000	(3.34418969922410e+001dB,1.79988952758651e+002°)
4.46683592150962e+000	(3.34418969852273e+001dB,1.79988695435349e+002°)
4.57088189614874e+000	(3.34418969778832e+001dB,1.79988432118218e+002°)
4.67735141287197e+000	(3.34418969701929e+001dB,1.79988162667644e+002°)
4.78630092322637e+000	(3.34418969621401e+001dB,1.79987886940760e+002°)
4.89778819368445e+000	(3.34418969537079e+001dB,1.79987604791372e+002°)
5.01187233627271e+000	(3.34418969448782e+001dB,1.79987316069882e+002°)
5.12861383991364e+000	(3.34418969356324e+001dB,1.79987020623204e+002°)
5.24807460249771e+000	(3.34418969259509e+001dB,1.79986718294690e+002°)
5.37031796370252e+000	(3.34418969158131e+001dB,1.79986408924041e+002°)
5.49540873857623e+000	(3.34418969051975e+001dB,1.79986092347224e+002°)
5.62341325190348e+000	(3.34418968940816e+001dB,1.79985768396387e+002°)
5.75439937337156e+000	(3.34418968824419e+001dB,1.79985436899766e+002°)
5.88843655355588e+000	(3.34418968702536e+001dB,1.79985097681598e+002°)
6.02559586074356e+000	(3.34418968574908e+001dB,1.79984750562025e+002°)
6.16595001861481e+000	(3.34418968441266e+001dB,1.79984395356999e+002°)
6.30957344480192e+000	(3.34418968301325e+001dB,1.79984031878187e+002°)
6.45654229034654e+000	(3.34418968154790e+001dB,1.79983659932866e+002°)
6.60693448007594e+000	(3.34418968001348e+001dB,1.79983279323827e+002°)
