Freq.	V(n003)/V(n001)
1.00000000000000e+000	(1.34419499342207e+001dB,1.79999695364146e+002°)
1.02329299228075e+000	(1.34419499342187e+001dB,1.79999688268265e+002°)
1.04712854805090e+000	(1.34419499342166e+001dB,1.79999681007100e+002°)
1.07151930523761e+000	(1.34419499342144e+001dB,1.79999673576801e+002°)
1.09647819614318e+000	(1.34419499342122e+001dB,1.79999665973428e+002°)
1.12201845430196e+000	(1.34419499342097e+001dB,1.79999658192950e+002°)
1.14815362149688e+000	(1.34419499342072e+001dB,1.79999650231241e+002°)
1.17489755493953e+000	(1.34419499342046e+001dB,1.79999642084080e+002°)
1.20226443461741e+000	(1.34419499342018e+001dB,1.79999633747147e+002°)
1.23026877081238e+000	(1.34419499341990e+001dB,1.79999625216022e+002°)
1.25892541179417e+000	(1.34419499341959e+001dB,1.79999616486182e+002°)
1.28824955169313e+000	(1.34419499341928e+001dB,1.79999607552997e+002°)
1.31825673855641e+000	(1.34419499341895e+001dB,1.79999598411732e+002°)
1.34896288259165e+000	(1.34419499341860e+001dB,1.79999589057540e+002°)
1.38038426460288e+000	(1.34419499341823e+001dB,1.79999579485460e+002°)
1.41253754462275e+000	(1.34419499341785e+001dB,1.79999569690418e+002°)
1.44543977074593e+000	(1.34419499341745e+001dB,1.79999559667221e+002°)
1.47910838816821e+000	(1.34419499341704e+001dB,1.79999549410552e+002°)
1.51356124843621e+000	(1.34419499341660e+001dB,1.79999538914976e+002°)
1.54881661891248e+000	(1.34419499341614e+001dB,1.79999528174926e+002°)
1.58489319246111e+000	(1.34419499341566e+001dB,1.79999517184708e+002°)
1.62181009735893e+000	(1.34419499341516e+001dB,1.79999505938495e+002°)
1.65958690743756e+000	(1.34419499341464e+001dB,1.79999494430325e+002°)
1.69824365246174e+000	(1.34419499341409e+001dB,1.79999482654094e+002°)
1.73780082874937e+000	(1.34419499341351e+001dB,1.79999470603560e+002°)
1.77827941003892e+000	(1.34419499341291e+001dB,1.79999458272333e+002°)
1.81970085860998e+000	(1.34419499341228e+001dB,1.79999445653874e+002°)
1.86208713666287e+000	(1.34419499341161e+001dB,1.79999432741494e+002°)
1.90546071796325e+000	(1.34419499341092e+001dB,1.79999419528346e+002°)
1.94984459975804e+000	(1.34419499341020e+001dB,1.79999406007424e+002°)
1.99526231496888e+000	(1.34419499340944e+001dB,1.79999392171560e+002°)
2.04173794466953e+000	(1.34419499340864e+001dB,1.79999378013417e+002°)
2.08929613085404e+000	(1.34419499340781e+001dB,1.79999363525488e+002°)
2.13796208950223e+000	(1.34419499340694e+001dB,1.79999348700092e+002°)
2.18776162394955e+000	(1.34419499340602e+001dB,1.79999333529369e+002°)
2.23872113856834e+000	(1.34419499340507e+001dB,1.79999318005273e+002°)
2.29086765276777e+000	(1.34419499340406e+001dB,1.79999302119575e+002°)
2.34422881531992e+000	(1.34419499340302e+001dB,1.79999285863852e+002°)
2.39883291901949e+000	(1.34419499340192e+001dB,1.79999269229484e+002°)
2.45470891568503e+000	(1.34419499340077e+001dB,1.79999252207652e+002°)
2.51188643150958e+000	(1.34419499339957e+001dB,1.79999234789331e+002°)
2.57039578276886e+000	(1.34419499339830e+001dB,1.79999216965285e+002°)
2.63026799189538e+000	(1.34419499339698e+001dB,1.79999198726063e+002°)
2.69153480392691e+000	(1.34419499339560e+001dB,1.79999180061995e+002°)
2.75422870333816e+000	(1.34419499339416e+001dB,1.79999160963186e+002°)
2.81838293126445e+000	(1.34419499339264e+001dB,1.79999141419508e+002°)
2.88403150312660e+000	(1.34419499339105e+001dB,1.79999121420599e+002°)
2.95120922666638e+000	(1.34419499338939e+001dB,1.79999100955856e+002°)
3.01995172040201e+000	(1.34419499338765e+001dB,1.79999080014428e+002°)
3.09029543251359e+000	(1.34419499338583e+001dB,1.79999058585211e+002°)
3.16227766016837e+000	(1.34419499338392e+001dB,1.79999036656843e+002°)
3.23593656929628e+000	(1.34419499338192e+001dB,1.79999014217699e+002°)
