x-axis,F1
Hertz,dBV
+0E+00,-44.33228E+00
+100E+00,-63.51743E+00
+200E+00,-66.82165E+00
+300E+00,-75.72330E+00
+400E+00,-69.08884E+00
+500E+00,-69.12350E+00
+600E+00,-66.17635E+00
+700E+00,-76.80251E+00
+800E+00,-69.51727E+00
+900E+00,-77.94449E+00
+1.000E+03,-66.93224E+00
+1.100E+03,-81.92266E+00
+1.200E+03,-63.68524E+00
+1.300E+03,-64.46463E+00
+1.400E+03,-75.77063E+00
+1.500E+03,-71.49266E+00
+1.600E+03,-75.87128E+00
+1.700E+03,-68.76363E+00
+1.800E+03,-70.17317E+00
+1.900E+03,-76.19158E+00
+2.000E+03,-69.91512E+00
+2.100E+03,-77.99359E+00
+2.200E+03,-72.52973E+00
+2.300E+03,-75.71692E+00
+2.400E+03,-72.08875E+00
+2.500E+03,-71.31479E+00
+2.600E+03,-72.11027E+00
+2.700E+03,-72.39076E+00
+2.800E+03,-75.47449E+00
+2.900E+03,-86.15139E+00
+3.000E+03,-66.88631E+00
+3.100E+03,-73.85436E+00
+3.200E+03,-66.66156E+00
+3.300E+03,-71.78869E+00
+3.400E+03,-73.30416E+00
+3.500E+03,-77.24546E+00
+3.600E+03,-75.93368E+00
+3.700E+03,-72.93871E+00
+3.800E+03,-74.50641E+00
+3.900E+03,-68.48556E+00
+4.000E+03,-75.84522E+00
+4.100E+03,-76.64678E+00
+4.200E+03,-69.04097E+00
+4.300E+03,-72.63948E+00
+4.400E+03,-72.73490E+00
+4.500E+03,-79.87138E+00
+4.600E+03,-82.76427E+00
+4.700E+03,-71.47829E+00
+4.800E+03,-68.58826E+00
+4.900E+03,-73.02306E+00
+5.000E+03,-72.88983E+00
+5.100E+03,-81.64948E+00
+5.200E+03,-67.86293E+00
+5.300E+03,-70.72938E+00
+5.400E+03,-70.45861E+00
+5.500E+03,-68.39276E+00
+5.600E+03,-71.37611E+00
+5.700E+03,-72.04737E+00
+5.800E+03,-81.18231E+00
+5.900E+03,-77.38133E+00
+6.000E+03,-72.62846E+00
+6.100E+03,-75.59014E+00
+6.200E+03,-71.15094E+00
+6.300E+03,-77.19566E+00
+6.400E+03,-71.41698E+00
+6.500E+03,-74.13350E+00
+6.600E+03,-64.30572E+00
+6.700E+03,-68.06299E+00
+6.800E+03,-92.48727E+00
+6.900E+03,-68.95398E+00
